doc_id,item,category,amount,price,discount
230624121,Laundry detergent (64 loads),Cleaning Supplies,1,12.99,30
230624121,"Oven mitts (silicone, set of 2)",Kitchen Essentials,5,12.99,0
230624121,Artificial plant (medium-sized),Home Decor,2,34.99,0
230624121,"Pillow (2-pack, medium-firm)",Bedding and Linens,5,24.99,50
230624121,"Storage bins (set of 6, plastic)",Storage and Organization,3,24.99,50
230624121,"Picture frames (set of 3, 8x10 inches)",Home Decor,2,19.99,20
230624121,Bath towel set (6 pieces),Bedding and Linens,1,29.99,30
230624121,"Shoe rack (10-tier, metal)",Storage and Organization,5,29.99,0
230624122,"Closet organizer (hanging, 6 shelves)",Storage and Organization,5,39.99,0
230624122,"Storage bins (set of 6, plastic)",Storage and Organization,2,24.99,0
230624122,"Pillow (2-pack, medium-firm)",Bedding and Linens,3,24.99,50
230624122,Under-bed storage containers (set of 2),Storage and Organization,1,24.99,40
230624122,All-purpose cleaner (32 oz),Cleaning Supplies,2,4.99,30
230624122,Shower curtain (polyester),Bedding and Linens,2,19.99,50
230624122,Hand towels (4-pack),Bedding and Linens,3,14.99,0
230624123,Dish soap (16 oz),Cleaning Supplies,5,2.99,10
230624123,Electric kettle (1.7L),Kitchen Essentials,3,34.99,20
230624123,Vacuum cleaner (bagless),Cleaning Supplies,5,99.99,0
230624123,Area rug (5x7),Home Decor,1,79.99,30
230624123,Artificial plant (medium-sized),Home Decor,3,34.99,50
230624123,Laundry detergent (64 loads),Cleaning Supplies,4,12.99,30
230624123,Throw pillows (set of 2),Home Decor,1,24.99,40
230624123,All-purpose cleaner (32 oz),Cleaning Supplies,1,4.99,50
230624123,Duvet cover (queen-size),Bedding and Linens,5,39.99,0
230624124,Kitchen scale (digital),Kitchen Essentials,3,19.99,0
230624124,All-purpose cleaner (32 oz),Cleaning Supplies,2,4.99,0
230624124,"Storage bins (set of 6, plastic)",Storage and Organization,1,24.99,30
230624124,Artificial plant (medium-sized),Home Decor,4,34.99,10
230624125,"Vacuum storage bags (set of 4, large)",Storage and Organization,1,14.99,40
230624126,All-purpose cleaner (32 oz),Cleaning Supplies,1,4.99,40
230624127,Bath towel set (6 pieces),Bedding and Linens,1,29.99,40
230624127,10-piece cookware set,Kitchen Essentials,3,89.99,0
230624128,"Closet organizer (hanging, 6 shelves)",Storage and Organization,3,39.99,30
230624128,Bath towel set (6 pieces),Bedding and Linens,5,29.99,0
230624128,Laundry hamper (foldable),Storage and Organization,5,19.99,20
230624128,"Pillow (2-pack, medium-firm)",Bedding and Linens,2,24.99,0
230624128,"Vacuum storage bags (set of 4, large)",Storage and Organization,5,14.99,0
230624128,Hand towels (4-pack),Bedding and Linens,5,14.99,0
230624128,"Cutting board (bamboo, large)",Kitchen Essentials,4,24.99,20
230624128,Under-bed storage containers (set of 2),Storage and Organization,5,24.99,10
230624129,Throw pillows (set of 2),Home Decor,2,24.99,0
230624129,Hand towels (4-pack),Bedding and Linens,1,14.99,50
